,conv1 filters,conv2 filters,conv3 filters,accuracy,train acc,runtime
290,201,1,51,25.69444444,33.4782609,4.26206255
147,101,1,76,25.34722222,45.65217391,4.877575874
180,101,151,1,25.34722222,100,9.373218775
298,201,1,251,25.34722222,34.3478261,3.993534803
299,201,1,276,25.34722222,29.56521739,4.6116395
360,251,1,1,25,22.60869565,4.223404884
4,1,1,101,24.65277778,28.26086959,3.588233232
226,151,1,251,23.95833333,26.95652174,3.736311913
35,1,101,276,21.52777778,36.08695652,4.208128929
48,1,201,1,20.48611111,29.56521739,3.65600872
